StationName,ParameterName,ReadingDate,Value,Zone
Woodcroft,Nitric Oxide,2025-05-19T07:00:00-06:00,0.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T07:00:00-06:00,5.5,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T07:00:00-06:00,0.002,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T07:00:00-06:00,0.002,ACA
Woodcroft,,2025-05-19T07:00:00-06:00,2.0,ACA
Woodcroft,Wind Speed,2025-05-19T07:00:00-06:00,15.2,ACA
Woodcroft,Ozone,2025-05-19T06:00:00-06:00,0.028,ACA
Woodcroft,Wind Direction,2025-05-19T06:00:00-06:00,153.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T06:00:00-06:00,9.0,ACA
Woodcroft,Wind Speed,2025-05-19T06:00:00-06:00,15.4,ACA
Woodcroft,Outdoor Temperature,2025-05-19T06:00:00-06:00,6.5,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T06:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T06:00:00-06:00,0.002,ACA
Woodcroft,Relative Humidity,2025-05-19T06:00:00-06:00,72.8,ACA
Woodcroft,Nitric Oxide,2025-05-19T06:00:00-06:00,0.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T06:00:00-06:00,0.003,ACA
Woodcroft,,2025-05-19T06:00:00-06:00,2.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T05:00:00-06:00,7.1,ACA
Woodcroft,Wind Direction,2025-05-19T05:00:00-06:00,153.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T05:00:00-06:00,8.4,ACA
Woodcroft,Relative Humidity,2025-05-19T05:00:00-06:00,75.9,ACA
Woodcroft,Wind Speed,2025-05-19T05:00:00-06:00,13.7,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T05:00:00-06:00,,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T05:00:00-06:00,,ACA
Woodcroft,,2025-05-19T05:00:00-06:00,2.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T05:00:00-06:00,,ACA
Woodcroft,Ozone,2025-05-19T05:00:00-06:00,,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T05:00:00-06:00,,ACA
Woodcroft,Relative Humidity,2025-05-19T04:00:00-06:00,73.5,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T04:00:00-06:00,0.0,ACA
Woodcroft,Wind Direction,2025-05-19T04:00:00-06:00,154.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T04:00:00-06:00,0.0,ACA
Woodcroft,Wind Speed,2025-05-19T04:00:00-06:00,13.0,ACA
Woodcroft,,2025-05-19T04:00:00-06:00,2.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T04:00:00-06:00,0.003,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T04:00:00-06:00,0.003,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T04:00:00-06:00,7.6,ACA
Woodcroft,Ozone,2025-05-19T04:00:00-06:00,0.027,ACA
Woodcroft,Outdoor Temperature,2025-05-19T04:00:00-06:00,8.0,ACA
Woodcroft,,2025-05-19T03:00:00-06:00,2.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T03:00:00-06:00,0.003,ACA
Woodcroft,Wind Speed,2025-05-19T03:00:00-06:00,13.3,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T03:00:00-06:00,0.003,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T03:00:00-06:00,7.5,ACA
Woodcroft,Wind Direction,2025-05-19T03:00:00-06:00,158.0,ACA
Woodcroft,Ozone,2025-05-19T03:00:00-06:00,0.027,ACA
Woodcroft,Nitric Oxide,2025-05-19T03:00:00-06:00,0.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T03:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T03:00:00-06:00,70.9,ACA
Woodcroft,Outdoor Temperature,2025-05-19T03:00:00-06:00,9.0,ACA
Woodcroft,Wind Speed,2025-05-19T02:00:00-06:00,13.3,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T02:00:00-06:00,0.003,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T02:00:00-06:00,7.1,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T02:00:00-06:00,0.002,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T02:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T02:00:00-06:00,66.6,ACA
Woodcroft,Nitric Oxide,2025-05-19T02:00:00-06:00,0.0,ACA
Woodcroft,,2025-05-19T02:00:00-06:00,2.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T02:00:00-06:00,10.0,ACA
Woodcroft,Wind Direction,2025-05-19T02:00:00-06:00,161.0,ACA
Woodcroft,Ozone,2025-05-19T02:00:00-06:00,0.03,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T01:00:00-06:00,7.5,ACA
Woodcroft,Outdoor Temperature,2025-05-19T01:00:00-06:00,10.7,ACA
Woodcroft,,2025-05-19T01:00:00-06:00,2.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T01:00:00-06:00,0.003,ACA
Woodcroft,Ozone,2025-05-19T01:00:00-06:00,0.031,ACA
Woodcroft,Wind Speed,2025-05-19T01:00:00-06:00,15.2,ACA
Woodcroft,Relative Humidity,2025-05-19T01:00:00-06:00,64.2,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T01:00:00-06:00,0.002,ACA
Woodcroft,Wind Direction,2025-05-19T01:00:00-06:00,155.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T01:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T01:00:00-06:00,0.0,ACA
Woodcroft,,2025-05-19T00:00:00-06:00,2.0,ACA
